	M145_21	M145_29	M145_33	M145_37	M145_41	M145_45	M145_49	M145_53	M145_57	M1152_33	M1152_41	M1152_45	M1152_49	M1152_53	M1152_57	M1152_61	M1152_65	STDEV_M145_21	STDEV_M145_29	STDEV_M145_33	STDEV_M145_37	STDEV_M145_41	STDEV_M145_45	STDEV_M145_49	STDEV_M145_53	STDEV_M145_57	STDEV_M1152_33	STDEV_M1152_41	STDEV_M1152_45	STDEV_M1152_49	STDEV_M1152_53	STDEV_M1152_57	STDEV_M1152_61	STDEV_M1152_65
prot_Q9L1C3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prot_Q9L1C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prot_Q9L1C5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prot_Q9L1C7	0	1.491e-10	4.6747e-10	7.7421e-11	4.1104e-12	5.2664e-10	3.5088e-11	2.3663e-11	1.9781e-10	2.312e-10	4.5362e-12	0	5.993e-12	0	4.8979e-13	4.8099e-10	4.8152e-10	0	1.0185e-09	1.4606e-09	2.0219e-10	4.8984e-11	1.3898e-10	7.9847e-11	6.7003e-11	5.0462e-11	1.4751e-09	1.4345e-10	0	1.3395e-10	0	1.5489e-11	1.5597e-11	3.4361e-12
prot_Q9L1C8	8.4093e-08	2.9522e-08	7.5703e-08	7.2905e-08	5.4433e-08	6.6508e-08	8.9053e-08	6.9424e-08	6.6137e-08	5.7419e-08	8.8907e-08	4.322e-08	6.3288e-08	9.3679e-08	4.2989e-08	7.425e-08	3.5708e-08	5.2542e-07	2.9709e-07	5.2067e-07	3.8953e-07	3.473e-07	3.9945e-07	3.7662e-07	3.4991e-07	3.6061e-07	3.8286e-07	5.0972e-07	3.3982e-07	3.802e-07	4.6723e-07	2.8032e-07	3.6473e-07	2.6881e-07
prot_Q9L1C9	1.5313e-08	5.0468e-09	4.6188e-09	5.2675e-10	5.1177e-10	4.989e-10	1.9326e-10	1.4195e-10	1.8542e-10	6.2298e-09	3.9972e-09	3.1068e-09	2.4648e-09	4.2843e-10	4.1799e-10	3.9691e-10	4.6726e-10	3.1737e-09	1.023e-09	9.7031e-10	1.1601e-10	1.1025e-10	1.0729e-10	4.0916e-11	3.4083e-11	4.0437e-11	1.3615e-09	8.0836e-10	5.3651e-10	6.629e-10	8.0482e-11	8.6727e-11	1.0784e-10	7.7187e-11
prot_Q9L1D5	2.2481e-08	0	4.3875e-08	5.4568e-09	5.01e-08	5.4233e-09	1.1824e-07	8.0786e-11	2.1296e-07	6.7716e-08	1.5915e-07	2.687e-08	0	0	0	0	1.0532e-07	7.1091e-07	0	1.011e-07	3.0133e-08	1.534e-06	4.382e-08	3.6495e-06	8.0425e-10	4.8184e-06	1.6384e-06	5.0329e-06	8.497e-07	0	0	0	0	3.3305e-06
prot_Q9L1D6	7.2513e-07	3.0965e-07	3.4567e-07	3.6435e-07	2.8958e-07	2.3765e-07	3.7061e-07	2.7713e-07	7.349e-07	6.8114e-07	4.3752e-06	5.2554e-06	4.5562e-06	3.5649e-06	4.751e-06	2.9018e-06	3.6134e-06	1.054e-06	7.4037e-07	9.4265e-07	1.1245e-06	9.2588e-07	8.3145e-07	1.0543e-06	8.956e-07	1.4037e-06	1.3329e-06	2.3012e-06	1.8519e-06	2.1279e-06	2.7682e-06	1.3693e-06	2.2578e-06	1.5667e-06
prot_Q9L1E9	0	0	2.2779e-08	1.2645e-08	0	3.1437e-08	1.5452e-08	0	1.7638e-08	0	0	0	7.2634e-09	0	5.0766e-09	4.1106e-09	0	0	0	7.2035e-07	3.9986e-07	0	7.0261e-07	4.8864e-07	0	5.5776e-07	0	0	0	2.2969e-07	0	1.6054e-07	1.2999e-07	0
prot_Q9L1G4	6.9669e-07	2.9377e-07	2.0777e-07	2.4923e-08	2.4063e-08	2.3304e-08	8.9365e-09	8.8219e-09	8.7158e-09	3.985e-07	1.8765e-07	1.4839e-07	1.231e-07	1.9955e-08	1.9921e-08	1.9917e-08	1.9919e-08	2.6424e-20	4.6146e-10	2.8981e-10	1.7115e-10	1.4689e-10	1.7383e-10	6.5335e-11	6.0827e-11	6.2196e-11	2.5944e-13	1.9554e-13	2.2186e-18	8.9442e-10	1.5203e-10	1.4411e-10	1.4036e-10	1.4214e-10
prot_Q9L1G9	3.4716e-11	9.756e-12	5.1774e-11	1.6598e-12	1.401e-12	1.743e-12	6.6698e-13	7.491e-14	2.8868e-13	4.6399e-11	3.1168e-12	6.1557e-12	1.3449e-11	1.6932e-13	7.1399e-12	1.5052e-12	3.6585e-12	8.1794e-10	3.0851e-10	4.2708e-10	2.6205e-11	2.0928e-11	2.5217e-11	8.4233e-12	2.3689e-12	5.5856e-12	4.6643e-10	6.966e-11	1.1674e-10	1.635e-10	5.3542e-12	3.7584e-11	2.6476e-11	3.2219e-11
prot_Q9L1J1	5.0984e-06	2.156e-06	1.6669e-06	7.0844e-07	4.833e-07	4.9827e-07	4.8127e-07	3.2269e-07	4.5592e-07	2.9786e-06	1.4656e-06	1.2232e-06	1.0909e-06	3.6314e-07	4.5081e-07	2.9655e-07	3.8665e-07	1.7967e-09	1.8499e-07	6.0741e-07	1.3055e-06	9.357e-07	1.0281e-06	1.2237e-06	9.8748e-07	1.2699e-06	2.9826e-07	5.2531e-07	6.6502e-07	7.9844e-07	9.58e-07	8.3737e-07	7.3815e-07	1.0226e-06
prot_Q9L1J6	2.4109e-08	2.4121e-08	3.6101e-07	1.9006e-07	4.3512e-08	3.1016e-07	6.2023e-08	7.0287e-08	2.5173e-07	8.965e-08	1.2955e-09	0	8.5182e-08	2.8549e-07	2.0015e-08	6.491e-08	1.6386e-07	5.3882e-07	3.1062e-07	5.6996e-06	3.0116e-06	9.9154e-07	4.3777e-06	1.9613e-06	1.1115e-06	4.0013e-06	1.6268e-06	1.6683e-08	0	1.5538e-06	4.5682e-06	6.3293e-07	1.0248e-06	2.9915e-06
prot_Q9L1K3	1.2735e-08	1.7016e-08	9.4676e-08	0	0	0	1.307e-07	0	1.4729e-07	3.1291e-08	1.6421e-07	9.9181e-08	5.4671e-07	3.3518e-07	4.8361e-08	7.1449e-08	1.3641e-07	4.0271e-07	2.6865e-07	2.9939e-06	0	0	0	2.921e-06	0	3.2918e-06	9.895e-07	3.6795e-06	1.0924e-06	3.6591e-06	4.8758e-06	9.296e-07	1.0187e-06	2.6198e-06
prot_Q9L1K6	5.5987e-07	3.4925e-07	2.8175e-07	2.7457e-07	1.3063e-07	1.4731e-07	1.7277e-07	8.0827e-08	1.2618e-07	4.2572e-07	1.0523e-07	2.273e-07	2.3106e-07	3.4676e-07	1.1066e-07	6.2976e-08	3.5754e-08	1.8231e-07	2.2099e-07	2.0534e-07	3.2827e-06	2.0428e-06	6.4293e-07	2.6627e-06	1.0097e-06	1.7691e-06	3.7795e-07	2.1878e-06	3.4684e-07	2.8961e-07	4.7222e-06	2.1554e-06	1.159e-06	6.9064e-07
prot_Q9L1L8	6.4863e-06	2.0703e-06	2.0321e-06	2.1439e-06	1.8137e-06	2.1464e-06	1.5001e-06	2.5325e-06	2.0408e-06	1.6281e-06	4.183e-07	8.8704e-07	1.2938e-06	1.4386e-06	6.4281e-07	4.272e-07	5.2222e-07	2.2193e-06	2.3165e-06	2.8817e-06	3.2615e-06	2.8419e-06	3.2348e-06	2.565e-06	3.4021e-06	3.1925e-06	2.2669e-06	1.118e-06	9.208e-07	1.5458e-06	2.2596e-06	1.4688e-06	1.2237e-06	1.3711e-06
prot_Q9L1R7	3.042e-09	6.9691e-09	1.5363e-09	8.119e-08	6.3233e-08	3.1517e-08	4.4697e-09	6.3025e-08	2.2483e-07	8.6356e-09	1.4365e-07	2.9974e-08	4.112e-08	3.0828e-08	1.2595e-08	3.6394e-08	8.6006e-08	7.0297e-08	1.5576e-07	4.8583e-08	3.1065e-07	2.626e-07	1.814e-07	7.0801e-08	2.9049e-07	4.5558e-07	1.1121e-07	3.7512e-07	2.0992e-07	2.5749e-07	2.0552e-07	1.3468e-07	2.0828e-07	3.1618e-07
prot_Q9L1R8	2.243e-09	1.978e-09	3.051e-09	2.5372e-09	7.6928e-08	5.5953e-08	5.1318e-09	0	4.7587e-08	1.3196e-08	1.419e-07	2.4019e-08	4.2218e-08	3.4035e-08	9.1098e-09	6.5064e-08	1.461e-07	5.0129e-08	4.4207e-08	6.8189e-08	5.6705e-08	2.7226e-07	1.5763e-07	7.2429e-08	0	1.5048e-06	1.7197e-07	3.9739e-07	1.8845e-07	2.5357e-07	1.9363e-07	8.2702e-08	2.6727e-07	3.9979e-07
prot_Q9L1T7	3.6714e-10	8.1132e-11	1.0971e-10	1.3123e-11	1.2695e-11	1.2306e-11	4.7049e-12	2.6977e-13	4.6114e-12	1.1387e-10	9.841e-11	2.3291e-11	4.4274e-11	1.0527e-11	1.0489e-11	7.0163e-12	8.6828e-12	2.276e-11	7.4303e-11	4.9163e-12	9.0902e-13	6.7944e-13	5.3334e-13	3.3241e-13	1.0753e-12	3.3685e-14	1.0135e-10	9.1897e-12	3.491e-11	2.9559e-11	5.7456e-13	7.2693e-13	4.8148e-12	4.0018e-12
prot_Q9L1U4	9.0572e-06	2.6129e-06	2.2195e-06	2.0076e-06	1.9614e-06	1.8394e-06	1.7025e-06	2.0086e-06	1.6898e-06	3.6493e-06	2.5622e-06	1.2496e-06	2.0637e-06	1.4971e-06	2.2728e-06	2.4756e-06	1.5981e-06	8.2855e-07	3.0901e-06	2.9678e-06	2.9129e-06	2.708e-06	2.4225e-06	2.2156e-06	2.5817e-06	2.2322e-06	4.1827e-06	3.387e-06	2.4726e-06	2.6281e-06	2.554e-06	2.8572e-06	3.8321e-06	2.8035e-06
prot_Q9L1U5	6.4841e-05	2.9194e-05	2.0648e-05	2.4768e-06	2.4538e-06	2.5039e-06	8.872e-07	9.3992e-07	9.9437e-07	3.9631e-05	1.9183e-05	1.4758e-05	1.2501e-05	2.235e-06	2.0427e-06	2.0658e-06	1.9775e-06	2.0332e-06	4.5859e-08	2.88e-08	1.7008e-08	1.979e-06	3.4283e-06	2.8825e-08	2.027e-06	2.8654e-06	2.2885e-06	6.629e-06	2.5211e-06	4.152e-06	3.9777e-06	1.992e-06	2.1489e-06	6.417e-08
prot_Q9L1V1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prot_Q9L1V3	5.4545e-08	9.5535e-08	8.369e-08	2.4256e-07	2.0711e-07	1.2131e-07	1.5638e-07	1.7427e-07	9.7139e-08	7.5234e-08	8.062e-08	4.4505e-08	7.5306e-08	9.2141e-08	2.342e-07	1.2956e-07	1.5961e-07	4.4999e-07	3.8213e-07	4.7137e-07	8.3654e-07	8.0822e-07	5.4578e-07	6.6118e-07	7.4381e-07	5.6285e-07	3.1354e-07	5.0684e-07	2.6726e-07	3.2111e-07	4.8773e-07	5.4588e-07	6.3582e-07	6.4723e-07
prot_Q9L1V9	3.1544e-11	1.4726e-11	0	3.1184e-11	2.2284e-11	1.0543e-10	2.1612e-11	2.9826e-11	0	3.3244e-14	3.1308e-15	4.9068e-11	0	6.8144e-11	0	2.5302e-11	0	7.0502e-10	3.2912e-10	0	9.8613e-10	7.0469e-10	1.489e-09	5.1856e-10	7.0027e-10	0	4.6921e-13	9.9006e-14	9.3803e-10	0	1.3386e-09	0	6.0234e-10	0
prot_Q9L1W7	3.4219e-08	0	2.6114e-09	0	0	0	9.3879e-10	0	0	1.0509e-09	0	1.3105e-09	0	0	0	0	0	7.6594e-07	0	5.8364e-08	0	0	0	2.9687e-08	0	0	3.3232e-08	0	4.1442e-08	0	0	0	0	0
prot_Q9L1X6	1.3271e-07	1.6712e-08	4.5784e-07	8.179e-07	2.6885e-07	7.061e-07	6.2014e-07	3.5263e-07	6.6391e-07	2.255e-07	2.781e-07	1.2881e-07	1.4687e-07	5.4195e-07	3.9119e-07	1.6734e-07	7.4978e-07	9.0053e-07	1.857e-07	4.3271e-06	4.0171e-06	1.2148e-06	4.5083e-06	4.0293e-06	2.1282e-06	3.9564e-06	1.2465e-06	3.5451e-06	7.4955e-07	9.8342e-07	4.7239e-06	1.3101e-06	8.9624e-07	4.6654e-06
prot_Q9L1Y6	0	7.0112e-09	2.6508e-08	7.2846e-08	2.2786e-08	3.6528e-08	3.7277e-08	1.5934e-08	3.7315e-08	5.9605e-12	1.3044e-10	1.2544e-08	1.754e-09	7.3344e-08	1.7607e-08	5.367e-11	6.3371e-08	0	1.5596e-07	8.3681e-07	1.625e-06	7.1746e-07	1.1524e-06	1.1769e-06	5.0213e-07	1.1773e-06	1.8849e-10	2.2256e-09	3.9469e-07	5.135e-08	1.637e-06	5.5349e-07	9.2624e-10	1.4307e-06
prot_Q9L1Z2	4.9567e-08	1.2896e-07	2.147e-07	1.8934e-07	1.378e-07	7.6456e-08	1.7495e-07	1.2797e-07	2.0458e-07	6.1282e-08	1.1969e-07	5.4331e-08	7.9494e-08	1.4941e-07	1.8991e-08	1.17e-07	1.4934e-08	8.0131e-07	1.62e-06	2.1563e-06	2.2132e-06	1.5875e-06	1.0637e-06	1.6089e-06	1.41e-06	1.7301e-06	9.0501e-07	1.3203e-06	9.4984e-07	1.1758e-06	1.7526e-06	5.6504e-07	1.2924e-06	4.7226e-07
prot_Q9L1Z5	7.2556e-06	3.6673e-06	2.4411e-06	1.2804e-06	9.3409e-07	7.0579e-07	8.4164e-07	7.701e-07	1.1352e-06	4.6398e-06	1.9366e-06	1.2238e-06	1.5062e-06	1.6855e-06	3.216e-07	1.6086e-06	3.6631e-07	6.5502e-06	5.2205e-06	3.8865e-06	4.3418e-06	3.3327e-06	2.5585e-06	3.2701e-06	2.6347e-06	3.1977e-06	7.383e-06	4.1495e-06	2.6669e-06	4.577e-06	6.2888e-06	2.4539e-06	5.6759e-06	2.1309e-06
prot_Q9L200	5.6588e-08	5.9294e-08	4.5441e-08	3.2539e-08	4.2497e-08	8.1215e-08	5.2936e-08	3.1748e-08	9.0775e-08	5.6183e-08	1.3932e-07	3.9071e-08	5.1774e-08	9.0693e-08	2.7805e-08	1.0136e-07	1.0748e-08	6.5344e-07	6.5792e-07	4.3835e-07	4.352e-07	4.8253e-07	6.9237e-07	5.44e-07	3.8522e-07	7.4627e-07	7.3197e-07	1.2319e-06	5.5493e-07	7.3073e-07	9.4402e-07	5.2365e-07	1.0597e-06	3.3989e-07
prot_Q9L206	5.2771e-07	9.8431e-08	1.4054e-07	2.8361e-07	1.6861e-07	4.0307e-07	1.9834e-07	2.108e-07	3.2176e-07	2.4183e-07	1.3494e-07	4.9262e-08	5.0674e-07	4.1771e-07	6.4019e-08	2.0194e-07	1.0065e-07	1.6771e-06	7.7037e-07	1.0678e-06	1.6502e-06	1.3618e-06	2.0591e-06	1.3761e-06	1.3392e-06	1.7011e-06	1.2505e-06	9.1783e-07	5.4503e-07	1.9524e-06	1.7723e-06	6.2942e-07	1.1092e-06	6.7119e-07
prot_Q9L213	5.3588e-08	5.9671e-09	1.3355e-07	7.4055e-08	2.7507e-09	1.0934e-09	9.171e-08	1.7408e-10	1.2524e-07	0	2.3772e-08	4.3854e-09	5.8459e-09	1.1876e-07	4.0439e-09	4.8148e-08	7.4435e-10	9.774e-07	1.887e-07	4.2188e-06	2.3418e-06	2.8985e-08	2.4436e-08	2.9001e-06	5.5049e-09	3.2693e-06	0	1.382e-07	4.8992e-08	6.3924e-08	3.7555e-06	6.3844e-08	1.0761e-06	2.3538e-08
prot_Q9L214	4.516e-08	6.4516e-09	9.0854e-07	3.2952e-07	1.4076e-07	3.4478e-07	3.3144e-07	1.9462e-07	3.701e-07	8.2349e-08	1.3633e-07	1.8571e-08	3.7099e-08	1.0357e-07	5.1923e-08	6.2986e-08	2.5216e-07	8.2468e-07	1.169e-07	8.2349e-06	3.564e-06	1.7908e-06	3.2832e-06	4.0144e-06	1.9382e-06	4.7045e-06	1.0414e-06	3.5818e-06	5.8727e-07	1.1732e-06	3.2752e-06	1.159e-06	1.1488e-06	4.1275e-06
prot_Q9L216	2.6878e-10	4.5414e-11	2.2982e-11	7.7862e-10	0	0	2.0663e-10	1.2314e-09	1.999e-10	3.4097e-14	0	0	0	0	2.8703e-10	0	1.8597e-10	8.4997e-09	1.4361e-09	7.2677e-10	1.7402e-08	0	0	6.5342e-09	1.9444e-08	6.3213e-09	1.0782e-12	0	0	0	0	9.0766e-09	0	5.8808e-09
prot_Q9L217	2.6878e-10	4.5414e-11	2.2982e-11	7.7862e-10	0	0	2.0663e-10	1.2314e-09	1.999e-10	3.4097e-14	0	0	0	0	2.8703e-10	0	1.8597e-10	8.4997e-09	1.4361e-09	7.2677e-10	1.7402e-08	0	0	6.5342e-09	1.9444e-08	6.3213e-09	1.0782e-12	0	0	0	0	9.0766e-09	0	5.8808e-09
prot_Q9L218	2.6878e-10	4.5414e-11	2.2982e-11	7.7862e-10	0	0	2.0663e-10	1.2314e-09	1.999e-10	3.4097e-14	0	0	0	0	2.8703e-10	0	1.8597e-10	8.4997e-09	1.4361e-09	7.2677e-10	1.7402e-08	0	0	6.5342e-09	1.9444e-08	6.3213e-09	1.0782e-12	0	0	0	0	9.0766e-09	0	5.8808e-09
prot_Q9L232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prot_Q9L233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prot_Q9L239	6.4404e-12	0	6.7224e-11	0	3.1206e-10	4.838e-10	3.1962e-10	0	3.7603e-10	5.8209e-15	2.7409e-15	8.8819e-12	1.7166e-11	0	0	1.4676e-11	0	2.0366e-10	0	2.1258e-09	0	9.8681e-09	1.4407e-08	1.0107e-08	0	1.0997e-08	1.8407e-13	8.6676e-14	2.8087e-10	5.4283e-10	0	0	4.6409e-10	0
prot_Q9L260	2.0236e-08	0	1.4232e-07	7.9082e-08	3.9839e-08	1.0812e-07	2.8531e-07	2.9197e-08	2.8706e-09	4.6498e-08	3.9337e-07	8.8506e-10	4.3968e-08	1.5847e-08	9.3811e-08	1.7936e-09	1.8806e-07	5.8648e-07	0	4.3608e-06	2.4206e-06	1.2597e-06	3.0112e-06	5.1867e-06	8.8255e-07	5.797e-08	1.4376e-06	7.152e-06	2.7988e-08	1.3904e-06	9.5109e-08	1.6822e-06	5.6718e-08	3.8693e-06
prot_Q9L278	2.0027e-07	8.0479e-08	5.9546e-08	6.1834e-09	6.9171e-09	6.6991e-09	3.2386e-10	2.536e-09	2.1322e-09	1.1375e-07	5.3887e-08	4.2656e-08	3.5387e-08	5.7363e-09	5.7207e-09	5.7253e-09	5.7258e-09	2.4867e-21	1.7882e-08	3.2691e-09	2.4653e-09	4.2226e-11	4.9971e-11	8.534e-10	1.7485e-11	8.9278e-10	9.5554e-09	1.7058e-09	4.1341e-20	2.5711e-10	4.3702e-11	1.8576e-10	4.0348e-11	4.086e-11
prot_Q9L279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prot_Q9L282	1.559e-09	6.5739e-10	4.6494e-10	5.5773e-11	5.3847e-11	5.215e-11	1.9998e-11	1.9742e-11	1.9504e-11	8.9176e-10	4.1991e-10	3.3206e-10	2.7547e-10	4.4655e-11	4.4578e-11	4.457e-11	4.4573e-11	3.2048e-23	1.0327e-12	6.4852e-13	3.8299e-13	3.2871e-13	3.89e-13	1.4621e-13	1.3612e-13	1.3918e-13	5.8057e-16	4.3757e-16	3.2184e-22	2.0015e-12	3.4021e-13	3.2249e-13	3.141e-13	3.1808e-13
prot_Q9L283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prot_Q9L286	9.4607e-08	3.9892e-08	2.8214e-08	3.3845e-09	3.2676e-09	3.1646e-09	1.2135e-09	1.198e-09	1.1836e-09	5.4115e-08	2.5481e-08	2.015e-08	1.6716e-08	2.7098e-09	2.7051e-09	2.7046e-09	2.7048e-09	8.7099e-19	6.2665e-11	3.9354e-11	2.3241e-11	1.9947e-11	2.3606e-11	8.8722e-12	8.26e-12	8.446e-12	3.5231e-14	2.6553e-14	1.0873e-17	1.2146e-10	2.0645e-11	1.957e-11	1.906e-11	1.9302e-11
prot_Q9L287	9.4607e-08	3.9892e-08	2.8214e-08	3.3845e-09	3.2676e-09	3.1646e-09	1.2135e-09	1.198e-09	1.1836e-09	5.4115e-08	2.5481e-08	2.015e-08	1.6716e-08	2.7098e-09	2.7051e-09	2.7046e-09	2.7048e-09	8.7099e-19	6.2665e-11	3.9354e-11	2.3241e-11	1.9947e-11	2.3606e-11	8.8722e-12	8.26e-12	8.446e-12	3.5231e-14	2.6553e-14	1.0873e-17	1.2146e-10	2.0645e-11	1.957e-11	1.906e-11	1.9302e-11
prot_Q9L298	3.3809e-08	2.9652e-08	3.8508e-08	1.8605e-08	2.4093e-08	3.3998e-08	3.5096e-08	5.8173e-08	2.3071e-08	6.1225e-08	1.8721e-06	4.9039e-07	2.1394e-06	2.148e-06	2.0662e-06	6.6556e-07	2.1237e-06	2.4338e-07	2.4762e-07	2.9359e-07	1.906e-07	1.9816e-07	2.1734e-07	2.1722e-07	3.4706e-07	1.8674e-07	4.0631e-07	1.4513e-06	1.0612e-06	2.0535e-06	1.8035e-06	1.6141e-06	1.1556e-06	1.8107e-06
prot_Q9L299	7.8709e-07	5.5497e-07	8.5602e-07	8.817e-07	4.1649e-07	5.1485e-07	7.6572e-07	7.0291e-07	5.3857e-07	6.5068e-07	1.1614e-07	1.0774e-07	1.2956e-07	1.5668e-07	9.825e-08	2.2495e-07	1.1157e-07	4.1335e-06	2.8971e-06	3.6713e-06	3.7248e-06	2.4086e-06	2.9586e-06	3.519e-06	3.0548e-06	2.4962e-06	2.932e-06	7.2277e-07	8.5694e-07	1.2575e-06	1.5404e-06	1.1928e-06	1.8543e-06	3.0039e-07
prot_Q9L2A3	7.8951e-06	6.5204e-06	5.181e-06	8.7053e-07	7.7341e-07	7.1585e-07	2.812e-07	2.6677e-07	3.9693e-07	4.2224e-06	2.9464e-06	2.1389e-06	3.0743e-06	5.059e-07	4.7141e-07	2.4784e-07	3.6488e-07	3.8081e-06	6.1328e-06	5.1417e-06	2.2654e-06	1.8011e-06	1.5836e-06	1.1159e-06	7.8776e-07	1.5101e-06	4.2368e-06	4.1983e-06	4.0805e-06	4.2967e-06	1.6639e-06	9.3824e-07	1.1543e-06	1.1509e-06
prot_Q9L2C1	1.0422e-06	3.7642e-07	1.3448e-06	7.3136e-07	4.5018e-07	8.5771e-07	1.596e-06	1.3753e-06	4.1524e-07	1.2123e-06	4.8347e-06	8.0107e-07	6.3449e-06	1.5768e-06	6.1245e-06	2.1232e-06	3.4537e-06	2.114e-06	1.5975e-06	2.808e-06	1.9286e-06	1.6711e-06	2.2667e-06	3.1959e-06	3.0947e-06	1.6975e-06	2.8768e-06	4.6644e-06	2.0403e-06	5.7066e-06	4.032e-06	6.3043e-06	4.0861e-06	4.7699e-06
prot_Q9L2C2	4.1139e-09	5.7592e-09	7.3097e-09	6.7978e-09	9.0415e-09	9.4062e-09	6.7419e-09	2.8162e-09	2.0413e-09	4.8818e-09	1.8728e-08	9.8453e-09	2.0174e-08	3.0735e-09	8.6509e-08	6.3333e-09	7.8473e-09	4.1696e-08	6.0098e-08	9.3414e-08	7.7181e-08	9.7395e-08	9.8068e-08	7.7538e-08	3.7512e-08	3.0517e-08	4.8597e-08	1.0143e-07	9.5994e-08	1.0878e-07	3.808e-08	2.7203e-06	6.1384e-08	8.2475e-08
prot_Q9L2C5	1.1199e-06	7.139e-07	1.0286e-06	1.3826e-06	1.8722e-06	1.3429e-06	1.4817e-06	2.0566e-06	1.5712e-06	1.4387e-06	2.9211e-06	2.1511e-06	2.6102e-06	1.5184e-06	3.3131e-06	5.055e-06	2.1985e-06	6.5787e-07	6.0257e-07	1.6172e-06	2.604e-06	3.4312e-06	2.9569e-06	3.1355e-06	4.302e-06	3.5445e-06	1.7943e-06	3.446e-06	3.4503e-06	4.4484e-06	2.9908e-06	4.7194e-06	6.007e-06	4.8797e-06
prot_Q9L2D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prot_Q9L2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prot_Q9L2E6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prot_Q9L2E9	4.7868e-11	1.6629e-11	1.1726e-11	8.016e-11	2.2022e-11	2.291e-11	2.577e-11	2.2915e-11	1.1319e-11	8.4617e-14	2.8177e-14	1.6658e-11	2.0972e-11	5.6231e-12	2.2635e-11	1.2256e-11	3.8167e-11	3.8544e-10	2.1398e-10	1.5364e-10	5.5732e-10	2.5225e-10	2.8525e-10	2.5968e-10	2.7205e-10	1.8364e-10	8.9593e-13	3.6285e-13	2.2609e-10	2.4132e-10	1.0901e-10	2.942e-10	1.9348e-10	3.7431e-10
prot_Q9L2H4	6.8897e-08	2.9051e-08	2.0547e-08	2.4647e-09	2.3796e-09	2.3046e-09	8.8375e-10	8.7241e-10	8.6192e-10	3.9408e-08	1.8556e-08	1.4674e-08	1.2173e-08	1.9734e-09	1.97e-09	1.9696e-09	1.9698e-09	1.0203e-21	4.5635e-11	2.8659e-11	1.6925e-11	1.4526e-11	1.7191e-11	6.4611e-12	6.0152e-12	6.1507e-12	2.5656e-14	1.9337e-14	1.4218e-20	8.8449e-11	1.5034e-11	1.4251e-11	1.388e-11	1.4056e-11
prot_Q9L2H6	5.5076e-11	6.1355e-11	3.6959e-11	1.8354e-12	1.8606e-12	2.1917e-10	2.0729e-10	6.5498e-10	6.3708e-13	2.696e-11	1.6655e-11	1.3545e-10	1.5297e-10	7.5576e-10	1.7078e-12	1.6735e-10	1.8752e-10	2.351e-11	1.1521e-09	7.2699e-10	9.497e-13	8.4853e-13	6.8785e-09	6.5342e-09	1.1181e-08	3.3558e-13	1.6654e-11	3.968e-12	3.8566e-09	4.4846e-09	1.3752e-08	5.108e-13	5.2343e-09	5.8808e-09
prot_Q9L2H7	5.5076e-11	6.1355e-11	3.6959e-11	1.8354e-12	1.8606e-12	2.1917e-10	2.0729e-10	6.5498e-10	6.3708e-13	2.696e-11	1.6655e-11	1.3545e-10	1.5297e-10	7.5576e-10	1.7078e-12	1.6735e-10	1.8752e-10	2.351e-11	1.1521e-09	7.2699e-10	9.497e-13	8.4853e-13	6.8785e-09	6.5342e-09	1.1181e-08	3.3558e-13	1.6654e-11	3.968e-12	3.8566e-09	4.4846e-09	1.3752e-08	5.108e-13	5.2343e-09	5.8808e-09
prot_Q9L2H8	5.5076e-11	6.1355e-11	3.6959e-11	1.8354e-12	1.8606e-12	2.1917e-10	2.0729e-10	6.5498e-10	6.3708e-13	2.696e-11	1.6655e-11	1.3545e-10	1.5297e-10	7.5576e-10	1.7078e-12	1.6735e-10	1.8752e-10	2.351e-11	1.1521e-09	7.2699e-10	9.497e-13	8.4853e-13	6.8785e-09	6.5342e-09	1.1181e-08	3.3558e-13	1.6654e-11	3.968e-12	3.8566e-09	4.4846e-09	1.3752e-08	5.108e-13	5.2343e-09	5.8808e-09
