Reaction ID,Reaction name,kegg.reaction,biocyc,kegg.pathway,kegg.subsystem,biocyc.subsystem1,biocyc.subsystem2,subsystem,curated pathway,curated subsystem
UPP3S,uroporphyrinogen-III synthase,R03165,UROGENIIISYN-RXN,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
UPPDC1,uroporphyrinogen decarboxylase (uroporphyrinogen III),R03197,UROGENDECARBOX-RXN,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,"Heme-b-Biosynthesis, Chlorophyllide-a-Biosynthesis","Chlorophyll-Biosynthesis, HEME-SYN",Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
UPPDC2,Uroporphyrinogen decarboxylase,R04972,RXN-10642,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
UPPRT,uracil phosphoribosyltransferase,R00966,URACIL-PRIBOSYLTRANS-RXN,Pyrimidine metabolism,Nucleotide metabolism,Pyrimidine-Nucleotide-Salvage,PYR-NUC-SYN,Nucleotide Salvage Pathway,Pyrimidine metabolism,Nucleotide metabolism
URCN,urocanase,R02914,UROCANATE-HYDRATASE-RXN,Histidine metabolism,Amino acid metabolism,,,Histidine metabolism,Histidine metabolism,Amino acid metabolism
UREA,urease,R00131,,"Arginine biosynthesis, Purine metabolism, Atrazine degradation","Nucleotide metabolism, Amino acid metabolism",,,Arginine and Proline metabolism,Arginine and proline metabolism,Amino acid metabolism
URECARB,urea carboxylase,R00774,UREA-CARBOXYLASE-RXN,"Atrazine degradation, Arginine biosynthesis","Xenobiotics biodegradation and metabolism, Amino acid metabolism",,,,Atrazine degradation,Xenobiotics biodegradation and metabolism
URGLYUS,ureidoglycolate urea-lyase;ureidoglycolate lyase,R00776,UREIDOGLYCOLATE-LYASE-RXN,Purine metabolism,Nucleotide metabolism,Allantoin-degradation,AMINE-DEG,,Purine metabolism,Nucleotide metabolism
URHYD,FAD-dependent urate hydroxylase,,RXN-11186,,,,,,Purine metabolism,Nucleotide metabolism
URIH,Uridine hydrolase,R01080,URIDINE-NUCLEOSIDASE-RXN,Pyrimidine metabolism,Nucleotide metabolism,Pyrimidine-Nucleotide-Salvage,PYR-NUC-SYN,Alternate Carbon metabolism,Pyrimidine metabolism,Nucleotide metabolism
URIK1,uridine kinase,R00964,URIDINEKIN-RXN,Pyrimidine metabolism,Nucleotide metabolism,,,,Pyrimidine metabolism,Nucleotide metabolism
URIK2,ADDED,R00968,URKI-RXN,Pyrimidine metabolism,Nucleotide metabolism,,,Purine and pyrimidine biosynthesis,Pyrimidine metabolism,Nucleotide metabolism
URO,urate:oxygen oxidoreductase,R02106,URATE-OXIDASE-RXN,Purine metabolism,Nucleotide metabolism,,,Purine and pyrimidine biosynthesis,Purine metabolism,Nucleotide metabolism
URO3MET,uroporphyrin-III (C2)-methyltransferase;uroporphyrinogen-III (C2)-methyltransferase;uroporphyrinogen-III C-methyltransferase;S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase,R07237,UROPORIIIMETHYLTRANSA-RXN,,,"Cobyrinate-diamide-Biosynthesis, Cofactor-Biosynthesis, Porphyrin-Compounds-Biosynthesis","Biosynthesis, Cofactor-Biosynthesis",,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
VALDHr,"valine dehydrogenase (NAD, irreversible)",R01434,,"Valine, leucine and isoleucine degradation, Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine degradation",Amino acid metabolism
VALTA,valine transaminase,R01214,BRANCHED-CHAINAMINOTRANSFERVAL-RXN,"Pantothenate and CoA biosynthesis, Valine, leucine and isoleucine degradation, Glucosinolate biosynthesis, Valine, leucine and isoleucine biosynthesis","Metabolism of cofactors and vitamins, Amino acid metabolism","VALINE-DEG, VALINE-BIOSYNTHESIS, ALANINE-SYN","Proteinogenic-Amino-Acids-Degradation, IND-AMINO-ACID-SYN","Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
VALTRS,Valyl-tRNA synthetase,R03665,,Aminoacyl-tRNA biosynthesis,Other,,,tRNA Charging,tRNA Charging,Biomass and maintenance functions
VNDH,vanillin dehydrogenase,R05699,1.2.1.67-RXN,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism,Vanillin-Degradation,AROMATIC-COMPOUNDS-DEGRADATION,,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism
VNDH_2,NAD+-4-hydroxybenzaldehyde dehydrogenase;4-hydroxybenzoate dehydrogenase,R01293,HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN,"Aminobenzoate degradation, Toluene degradation",Xenobiotics biodegradation and metabolism,,,,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism
VNDH_4,4-hydroxybenzaldehyde dehydrogenase;NADP+-4-hydroxybenzaldehyde dehydrogenase;NADP+-benzaldehyde dehydrogenase,R01294,HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN,"Aminobenzoate degradation, Toluene degradation",Xenobiotics biodegradation and metabolism,"TOLUENE-DEG, AROMATIC-COMPOUNDS-DEGRADATION","AROMATIC-COMPOUNDS-DEGRADATION, Degradation",,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism
VNTDM,vanillate:oxygen oxidoreductase (demethylating),R05274,RXN-10891,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism,,,Benzoate metabolism,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism
VOR1b,3-methyl-2-oxobutanoate dehydrogenase (lipoamide),R08566,,"Valine, leucine and isoleucine degradation",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine degradation",Amino acid metabolism
VOR2b,3-methyl-2-oxobutanoate dehydrogenase (lipoamide),R07160,,"Valine, leucine and isoleucine degradation",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine degradation",Amino acid metabolism
VOR3b,3-methyl-2-oxobutanoate dehydrogenase (lipoamide),R08567,,"Valine, leucine and isoleucine degradation",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine degradation",Amino acid metabolism
VPAMTr,valinemdashpyruvate aminotransferase,R01215,VALINE-PYRUVATE-AMINOTRANSFER-RXN,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,,,,"Valine, leucine and isoleucine biosynthesis",Amino acid metabolism
WCOS,tungsten pterin cofactor synthase,,,,Metabolism of cofactors and vitamins,,,Cofactor and Prosthetic Group Biosynthesis,Tungsten bispterin metabolism,Metabolism of cofactors and vitamins
X5PL3E,L-xylulose 5-phosphate 3-epimerase,R03244,LXULRU5P-RXN,"Ascorbate and aldarate metabolism, Pentose and glucuronate interconversions",Carbohydrate metabolism,,,Alternate Carbon metabolism,Ascorbate and aldarate metabolism,Carbohydrate metabolism
XAND,xanthine dehydrogenase,R02103,RXN0-901,Purine metabolism,Nucleotide metabolism,"Purine-Degradation, ALKALOIDS, CAFFEINE, Guanosine-Nucleotides-Degradation, Adenosine-Nucleotides-Degradation, Fermentation","Purine-Degradation, N-CONTAINING-SECONDARY-CMPD-DEG, ALKALOIDS, NUCLEO-DEG, Energy-Metabolism",Nucleotide Salvage Pathway,Purine metabolism,Nucleotide metabolism
XGLCOLIG,XXLG xyloglucan oligosaccharide beta-galactosidase,,RXN-12398,,,,,,Polysaccharid degradation,Carbohydrate metabolism
XLLGXYL,XLLG xyloglucan oligosaccharide beta-galactosidase,,RXN-12400,,,Glycan-Pathways,Pathways,,Polysaccharid degradation,Carbohydrate metabolism
XLXG,XLXG xyloglucan oligosaccharide beta-galactosidase,,RXN-12399,,,,,,Polysaccharid degradation,Carbohydrate metabolism
XPPT,Xanthine-guanine phosphoribosyltransferase,R02142,XANPRIBOSYLTRAN-RXN,Purine metabolism,Nucleotide metabolism,Purine-Nucleotides-Salvage,PUR-NUC-SYN,Purine and pyrimidine biosynthesis,Purine metabolism,Nucleotide metabolism
XTSNH,Xanthosine hydrolase,R02143,RXN0-363,Purine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Purine metabolism,Nucleotide metabolism
XYLI1,xylose isomerase,R01432,XYLISOM-RXN,Pentose and glucuronate interconversions,Carbohydrate metabolism,Xylose-Degradation,Sugars-And-Polysaccharides-Degradation,Alternate Carbon metabolism,Pentose and glucuronate interconversions,Carbohydrate metabolism
XYLI2,xylose isomerase,R00307,GLUCISOM-RXN,,Carbohydrate metabolism,,,Alternate Carbon metabolism,Pentose and glucuronate interconversions,Carbohydrate metabolism
XYLK,xylulokinase,R01639,XYLULOKIN-RXN,Pentose and glucuronate interconversions,Carbohydrate metabolism,"SUGAR-ALCOHOLS-DEG, Xylose-Degradation","Sugars-And-Polysaccharides-Degradation, Sugar-Derivatives",Alternate Carbon metabolism,Pentose and glucuronate interconversions,Carbohydrate metabolism
XYLK2,L-xylulokinase,R01901,LYXK-RXN,Pentose and glucuronate interconversions,Carbohydrate metabolism,,,Alternate Carbon metabolism,Pentose and glucuronate interconversions,Carbohydrate metabolism
XYLLAC,D-xylonolactonase,R02427,RXN-12246,Pentose and glucuronate interconversions,Carbohydrate metabolism,Xylose-Degradation,Sugars-And-Polysaccharides-Degradation,,Pentose and glucuronate interconversions,Carbohydrate metabolism
XYLR2,D-iditol 2-dehydrogenase,R05831,,Pentose and glucuronate interconversions,Carbohydrate metabolism,,,Pentose and glucuronate interconversions,Pentose and glucuronate interconversions,Carbohydrate metabolism
XYLR3,aldehyde reductase,R09477,,Pentose and glucuronate interconversions,Carbohydrate metabolism,,,Pentose and glucuronate interconversions,Pentose and glucuronate interconversions,Carbohydrate metabolism
XYLTD_D,D-xylulose reductase,R01896,D-XYLULOSE-REDUCTASE-RXN,Pentose and glucuronate interconversions,Carbohydrate metabolism,,,Pentose and glucuronate interconversions,Pentose and glucuronate interconversions,Carbohydrate metabolism
XYLTO,xylitol oxidase,R07152,,Pentose and glucuronate interconversions,Carbohydrate metabolism,,,Alternate Carbon metabolism,Pentose and glucuronate interconversions,Carbohydrate metabolism
ZCARDS,zeta-carotene desaturase;all-trans-zeta-carotene desaturase ,R04798,RXN-8022,Carotenoid biosynthesis,Metabolism of terpenoids and polyketides,,,,Carotenoid biosynthesis,Metabolism of terpenoids and polyketides
ZCAROTDH2,"Neurosporene, hydrogen-donor:oxygen oxidoreductase ",R04800,R04800,Carotenoid biosynthesis,Metabolism of terpenoids and polyketides,,,,Carotenoid biosynthesis,Metabolism of terpenoids and polyketides
r0120,GTP cyclohydrolase I,R00428,,Folate biosynthesis,Metabolism of cofactors and vitamins,,,Folate metabolism,Folate biosynthesis,Metabolism of cofactors and vitamins
r0163,R00621,R00621,,Citrate cycle (TCA cycle),Carbohydrate metabolism,,,Citric Acid Cycle,Citric Acid Cycle,Carbohydrate metabolism
r0686,1-pyrroline-5-carboxylate dehydrogenase,R04445,,Arginine and proline metabolism,Amino acid metabolism,,,Arginine and Proline metabolism,Arginine and proline metabolism,Amino acid metabolism
r0708,GTP cyclohydrolase I,R04639,,Folate biosynthesis,Metabolism of cofactors and vitamins,,,Folate metabolism,Folate biosynthesis,Metabolism of cofactors and vitamins
r0775,GTP cyclohydrolase I,R05046,,Folate biosynthesis,Metabolism of cofactors and vitamins,,,Folate metabolism,Folate biosynthesis,Metabolism of cofactors and vitamins
r0777,GTP cyclohydrolase I,R05048,,Folate biosynthesis,Metabolism of cofactors and vitamins,,,Folate metabolism,Folate biosynthesis,Metabolism of cofactors and vitamins
14GLUCANabc,"1,4-alpha-D-glucan transport via ABC system",,,,Transport,,,"Transport, Membrane",,Membrane transport
2HXMPt6,2-(hydroxymethyl)phenol transport in/out via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
4A5HMPt,2-(Hydroxymethyl)phenol transport via diffusion,,,,Transport,,,"Transport, Membrane",,Membrane transport
5DGLCNt2r,"5-Dehydro-D-gluconate transport via proton symport, reversible",,,,Transport,,,"Transport, Membrane",,Membrane transport
5MTRt2,5-Methylthio-D-ribose transport via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
ABTabc,D-arabinitol transport via ABC system,,,,Transport,,,"Transport, Membrane",,Membrane transport
ABUTt2r,4-aminobutyrate transport in via proton symport,,TRANS-RXN-57,,Transport,,,"Transport, Membrane",,Membrane transport
ACALDt,acetaldehyde reversible transport,,,,Transport,,,"Transport, Membrane",,Membrane transport
ACCt,N-acetylcysteine transport,,,,,,,"Transport, Membrane",,Membrane transport
ACGApts,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,,,,Transport,,,"Transport, Membrane",,Membrane transport
ACSERt,O-Acetyl-L-serine transport via facilitated transport,,,,Transport,,,"Transport, Membrane",,Membrane transport
ACTt,actinorhodin transport via facilitated transport,,,,Transport,,,"Transport, Membrane",Actinorhodin Biosynthesis,Membrane transport
ACt2r,acetate transport via proton symport,,TRANS-RXN0-571,,Transport,,,"Transport, Membrane",,Membrane transport
ACt4,Na+/Acetate symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
ADEt,adenine transport via proton symport (reversible),,TRANS-RXN0-577,,Transport,,,"Transport, Membrane",,Membrane transport
ADNt2,"adenosine transport in via proton symport, reversible",,TRANS-RXN-203,,Transport,,,"Transport, Membrane",,Membrane transport
AKGt2r,2-oxoglutarate reversible transport via symport,,TRANS-RXN-23,,Transport,,,"Transport, Membrane",,Membrane transport
ALAALAabc,D-alanyl-D-alanine (DalaDala) transport via ABC system,,,,Transport,,,"Transport, Membrane",,Membrane transport
ALAabc,L-alanine transport via ABC system,,,,Transport,,,"Transport, Membrane",,Membrane transport
ALAt2r,L-alanine reversible transport via proton symport,,RXN0-5202,,Transport,,,"Transport, Membrane",,Membrane transport
ALAt4,L-alanine transport in via sodium symport,,TRANS-RXN-125,,Transport,,,"Transport, Membrane",,Membrane transport
ALLTNt2r,allantoin transport in via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
ANTHte,anthranilate transport via facilitated diffusion,,,,Transport,,,"Transport, Membrane",,Membrane transport
ARBabc,L-arabinose transport via ABC system,,,,Transport,,,"Transport, Membrane",,Membrane transport
ARBt2r,L-arabinose transport via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
ARGAGMt7,Arginine/agmatine antiport,,,,Transport,,,"Transport, Membrane",,Membrane transport
ARGORNt7,arginine/ornithine antiporter,,,,Transport,,,"Transport, Membrane",,Membrane transport
ARGabc,L-arginine transport via ABC system,,META:ABC-4-RXN,,Transport,,,"Transport, Membrane",,Membrane transport
ARGt3,L-arginine transport out via proton antiport,,,,Transport,,,"Transport, Membrane",,Membrane transport
ASNabc,L-asparagine transport via ABC system/putative L-asparagine permease,,,,Transport,,,"Transport, Membrane",,Membrane transport
ASNt2r,L-asparagine reversible transport via proton symport,,TRANS-RXN-262,,Transport,,,"Transport, Membrane",,Membrane transport
ASO3t8,arsenite efflux via ATP hydrolysis,,,,Transport,,,"Transport, Membrane",,Membrane transport
ASPabc,L-aspartate transport via ABC system,,META:TRANS-RXN0-222,,Transport,,,"Transport, Membrane",,Membrane transport
ASPt2_2,Aspartate transport via proton symport (2 H),,META:TRANS-RXN-122A,,Transport,,,"Transport, Membrane",,Membrane transport
ASPt2r,L-aspartate transport in via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
ATPS4r,ATP synthase (four protons for one ATP),R00086,,Purine metabolism,"Nucleotide metabolism, Energy metabolism",,,Oxidative phosphorylation,Oxidative phosphorylation,Energy metabolism
BALAt2,beta-alanine transport in via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
BHBt,(R)-3-Hydroxybutanoate transport via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
BTNt2i,Biotin transport via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
CA2abc1,calcium-transporting ATPase,,3.6.3.8-RXN,,,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
CA2t4,calcium (Ca+2) transport in/out via proton antiport,,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
CADVt,Lysine/Cadaverine antiporter,,,,Transport,,,"Transport, Membrane",,Membrane transport
CBIabc,Cobinamide transport via ABC system (uptake),,,,Transport,,,"Transport, Membrane",,Membrane transport
CBL1abc,Cob(1)alamin transport via ABC system,,META:ABC-5-RXN,,Transport,,,"Transport, Membrane",,Membrane transport
CD2abc,Cadmium (Cd+2) ABC transporter,,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
CD2t4,cadmium (Cd+2) transport in/out via proton antiport,,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
CDAabc,calcium-dependent antibiotics 2b transport via ABC system,,,,Transport,,,"Transport, Membrane",Calcium-Dependent Antibiotics Biosynthesis,Membrane transport
CDAti,CDA efflux via diffusion,,,,Transport,,,"Transport, Membrane",Calcium-Dependent Antibiotics Biosynthesis,Membrane transport
CELLBabc,cellobiose transport via ABC system,,,,Transport,,,"Transport, Membrane",,Membrane transport
CELLUL_DEGe,Cellulose degradation (extracellular),,,,,,,,,Membrane transport
CHLabc,choline transport via ABC system,,,,Transport,,,"Transport, Membrane",,Membrane transport
CHLt2,choline transport via proton symport,,TRANS-RXN-99,,Transport,,,"Transport, Membrane",,Membrane transport
CHTBSabc,chitobiose transport via ABC system,,,,Transport,,,"Transport, Membrane",,Membrane transport
CHTNDG,Chitin degradation (chitinase),,,,,,,,,Membrane transport
CITRLt,citrulline transport via facilitated diffusion,,,,Transport,,,"Transport, Membrane",,Membrane transport
CITt3,citrate transport out via proton antiport,,,,Transport,,,"Transport, Membrane",,Membrane transport
CITt7,Citrate transport via succinate antiport,,META:TRANS-RXN0-201,,Transport,,,"Transport, Membrane",,Membrane transport
CLt3_2,chloride transport out via proton antiport (2:1),,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
CO2t,CO2 transporter via diffusion,,META:TRANS-RXN0-545,,Transport,,,"Transport, Membrane",,Membrane transport
COBALT2t,cobalt transport in via permease (no H+),,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
COBALT2t3,cobalt (Co+2) transport out via proton antiport,,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
COELICHELINUt,coelichelin secretion,,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
COELICHELINabc,ferricoelichelin transport via ABC system,,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
CPKS6,Extracellular spontaneous reaction,,,,,,,,Coelimycin biosynthesis,Membrane transport
CPKSt,Putative transmembrane efflux protein CpkF,,,,,,,,Coelimycin biosynthesis,Membrane transport
CSNt2,cytosine transport in via proton symport,,TRANS-RXN-199,,Transport,,,"Transport, Membrane",,Membrane transport
CSNt2r,"cytosine transport in via proton symport, reversible",,,,Transport,,,"Transport, Membrane",,Membrane transport
CU1abc,Copper (Cu +1) ABC transporter,,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
CU2abc,Copper (Cu+2) ABC transporter,,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
CU2t,copper transport in via permease (no H+),,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
CUt3,copper transport in via proton antiport,,TRANS-RXN0-280,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
CYO2a,"cytochrome bc1c complex (reductase, menaquinol: 2 protons)",,,,Energy metabolism,,,Oxidative phosphorylation,Oxidative phosphorylation,Energy metabolism
CYSabc,L-cysteine uptake via ABC system,,TRANS-RXN-265,,Transport,,,"Transport, Membrane",,Membrane transport
CYSabc2,L-cysteine export via ABC system,,,,Transport,,,"Transport, Membrane",,Membrane transport
CYSt,L-cysteine export via facilitated transport,,,,Transport,,,"Transport, Membrane",,Membrane transport
CYTBD2,cytochrome oxidase bd (menaquinol-9: 2 protons),R09492,,,Energy metabolism,,,Oxidative phosphorylation,Oxidative phosphorylation,Energy metabolism
CYTDt2,"cytidine transport in via proton symport, reversible",,TRANS-RXN-108B,,Transport,,,"Transport, Membrane",,Membrane transport
DADNt2,deoxyadenosine transport in via proton symport,,TRANS-RXN-108C,,Transport,,,"Transport, Membrane",,Membrane transport
DALAt2r,D-alanine transport in via proton symport,,TRANS-RXN-62A,,Transport,,,"Transport, Membrane",,Membrane transport
DAPLLabc,"2,6-diaminopimelic acid transport via ABC system",,,,Transport,,,"Transport, Membrane",,Membrane transport
DAPabc,M-diaminopimelic acid ABC transport,,,,Transport,,,"Transport, Membrane",,Membrane transport
DARBabc,D-arabinose transport via ABC system,,,,Transport,,,"Transport, Membrane",,Membrane transport
DCYTt2,deoxycytidine transport in via proton symport,,TRANS-RXN-108D,,Transport,,,"Transport, Membrane",,Membrane transport
DDGLCNt2r,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible",,META:TRANS-RXN-113,,Transport,,,"Transport, Membrane",,Membrane transport
DGSNt2,deoxyguanosine transport in via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
DHAt,Dihydroxyacetone transport via facilitated diffusion,,META:TRANS-RXN0-559,,Transport,,,"Transport, Membrane",,Membrane transport
DINSt2,deoxyinosine transport in via proton symport,,TRANS-RXN-108E,,Transport,,,"Transport, Membrane",,Membrane transport
DRIBt,deoxyribose transport via diffusion,,,,Transport,,,"Transport, Membrane",,Membrane transport
DSERt2,D-serine transport via proton symport,,RXN0-5130,,Transport,,,"Transport, Membrane",,Membrane transport
DURIt2,deoxyuridine transport in via proton symport,,TRANS-RXN-108F,,Transport,,,"Transport, Membrane",,Membrane transport
D_LACt2,D-lactate transport via proton symport,,TRANS-RXN0-515,,Transport,,,"Transport, Membrane",,Membrane transport
ENTERt,enterobactin exporter EntS,,TRANS-RXN0-496,,,,,,,Membrane transport
EPMt2,epimelibiose transport in via symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
ETHAt2,ethanolamine transport in via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
ETOHt,ethanol reversible transport via diffusion,,TRANS-RXN0-546,,Transport,,,"Transport, Membrane",,Membrane transport
FALDt,formaldehyde transport via diffusion,,,,Transport,,,"Transport, Membrane",,Membrane transport
FE2t2,iron (II) transport in via proton symport,,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
FE2t3,iron (Fe+2) transport out via proton antiport,,,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
FE3abc,iron (III) transport via ABC system,,3.6.3.30-RXN,,Transport,,,Inorganic Ion Transport and metabolism,,Inorganic Ion Transport and metabolism
FEOXAMBUt,desferrioxamine B secretion,,,,Transport,,,"Transport, Membrane",,Membrane transport
FEOXAMBabc,ferrioxamine B transport via ABC system,,,,Transport,,,"Transport, Membrane",,Membrane transport
FEOXAMEUt,desferrioxamine E secretion,,,,Transport,,,"Transport, Membrane",,Membrane transport
FEOXAMEabc,ferrioxamine E transport via ABC system,,,,Transport,,,"Transport, Membrane",,Membrane transport
FORti,formate transport via diffusion,,TRANS-RXN-1,,Transport,,,"Transport, Membrane",,Membrane transport
FRUpts,D-fructose transport via PEP:Pyr PTS,,,,Transport,,,"Transport, Membrane",,Membrane transport
FRUpts2,fructose transport via PEP:PTS/putative fructose-specific permease,,,,Transport,,,"Transport, Membrane",,Membrane transport
FUMt2_2,Fumarate transport via proton symport (2 H),,META:TRANS-RXN-121B,,Transport,,,"Transport, Membrane",,Membrane transport
GALCTNt2,D-galactonate transport via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
GALIt2,1-alpha-D-Galactosyl-myo-inositol transport in via symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
GALabc,galactose transport via ABC system,,,,Transport,,,"Transport, Membrane",,Membrane transport
GALt2,D-galactose transport in via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
GALt4,galactose transport via sodium symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
GAMpts,D-glucosamine transport via PEP:PTS,,,,Transport,,,"Transport, Membrane",,Membrane transport
GGLt2,galactosylglycerol transport in via symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
GLCNt2r,"D-gluconate transport via proton symport, reversible",,META:TRANS-RXN0-209,,Transport,,,"Transport, Membrane",,Membrane transport
GLCRt2r,"D-glucarate transport via proton symport, reversible",,,,Transport,,,"Transport, Membrane",,Membrane transport
GLCpts,glucose transport via PEP:PTS,,,,Transport,,,"Transport, Membrane",,Membrane transport
GLCt2,D-glucose transport in via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
GLNabc,L-glutamine transport via ABC system,,ABC-12-RXN,,Transport,,,"Transport, Membrane",,Membrane transport
GLUabc,L-glutamate transport via ABC system,,META:ABC-13-RXN,,Transport,,,"Transport, Membrane",,Membrane transport
GLUt2r,"L-glutamate transport via proton symport, reversible",,,,Transport,,,"Transport, Membrane",,Membrane transport
GLUt4,Glutamate transport via sodium symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
GLYALDt,Glyceraldehyde facilitated diffusion,,,,Transport,,,"Transport, Membrane",,Membrane transport
GLYBabc,Glycine betaine transport via ABC system,,,,Transport,,,"Transport, Membrane",,Membrane transport
GLYBt2r,Glycine betaine transport via proton symport,,TRANS-RXN-29A,,Transport,,,"Transport, Membrane",,Membrane transport
GLYCAt2r,"D-glycerate transport via proton symport, reversible",,,,Transport,,,"Transport, Membrane",,Membrane transport
GLYCAt3,D-glycerate transport via sodium symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
GLYCLTt,glycolate transport via diffusion,,RXN0-5111,,Transport,,,"Transport, Membrane",,Membrane transport
GLYCLTt2r,glycolate transport via proton symport (irreversible),,TRANS-RXN-105,,Transport,,,"Transport, Membrane",,Membrane transport
GLYCLTt4,glycolate transport via sodium symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
GLYCt,glycerol transport via channel,,TRANS-RXN-131,,Transport,,,"Transport, Membrane",,Membrane transport
GLYabc,glycine transport via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
GLYt2r,glycine reversible transport via proton symport,,TRANS-RXN-62B,,Transport,,,"Transport, Membrane",,Membrane transport
GLYt4,glycine transport in via sodium symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
GSNt2,guanosine transport in via proton symport,,RXN0-22,,Transport,,,"Transport, Membrane",,Membrane transport
GUAt,Guanine transport via diffusion,,TRANS-RXN0-578,,Transport,,,"Transport, Membrane",,Membrane transport
GUAt2r,guanine transport in via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
H2O2t,hydrogen peroxide transport via diffusion,,TRANS-RXN0-572,,Transport,,,"Transport, Membrane",,Membrane transport
H2Ot,H2O transport via diffusion,,TRANS-RXN0-547,,Transport,,,"Transport, Membrane",,Membrane transport
H2St1,h2s transport,,,,Transport,,,"Transport, Membrane",,Membrane transport
HISabc,L-histidine transport via ABC system,,ABC-14-RXN,,Transport,,,"Transport, Membrane",,Membrane transport
HISt2r,L-histidine reversible transport via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
HOMt2,L-homoserineserine efflux via proton symport,,,,Transport,,,"Transport, Membrane",,Membrane transport
HYXNt,hypoxanthine transport via facilitated diffusion,,TRANS-RXN0-579,,Transport,,,"Transport, Membrane",,Membrane transport
