"Rxn","Rxn Name","Rxn KEGG ID","Reversibility in model","Reversibility in MetaCyc"
"ICHORS","isochorismate synthase","R01717","forward only","Reversible"
"SUCBZS","o-succinylbenzoate synthase","R04031","forward only","irreversible"
"SUCBZL","o-succinylbenzoate-CoA ligase","R04030","forward only","irreversible"
"NPHS","naphthoate synthase","R04150","forward only"," "
"DHNAOT9","1,4-dihydroxy-2-naphthoate prenyltransferase","R05617","forward only"," "
"AMMQT9","demethylmenaquinone methyltransferase","R04993","reversible"," "
"TOLOR","Toluene dioxygenase","R03559","forward only","irreversible"
"HOPNTAL3","cyclase","R00750","forward only","Reversible"
"OP4ENH3","2-oxopent-4-enoate hydratase","R02601","forward only","irreversible"
"ALAS","5-aminolevulinate synthase","R00830","forward only","irreversible"
"G5SAT","Glutamate-1-semialdehyde 2,1-aminomutase","","forward only",""
"UPP1S","uroporphyrinogen-III synthase","R03166","forward only"," "
"UPPDC2","Uroporphyrinogen decarboxylase","R04972","forward only","irreversible"
"UPP3MT1","uroporphyrin-III methyltransferase","","forward only",""
"SAMP1MET","uroporphyrin-III methyltransferase","R07238","forward only","irreversible"
"FNOR","putative ferredoxin/ferredoxin-NADP reductase","R01195","forward only","Reversible"
"ACt2r","acetate transport via proton symport","","reversible",""
"ANTHte","anthranilate transport via facilitated diffusion","","forward only",""
"ARGORNt7","arginine/ornithine antiporter","","reversible",""
"ASNabc","L-asparagine transport via ABC system/putative L-asparagine permease","","forward only",""
"CDAti","CDA efflux via diffusion","","forward only",""
"CITRLt","citrulline transport via facilitated diffusion","","reversible",""
"DAPLLabc","2,6-diaminopimelic acid transport via ABC system","","forward only",""
"DARBabc","D-arabinose transport via ABC system","","forward only",""
"GLYCAt3","D-glycerate transport via sodium symport","","forward only",""
"LYXDabc","D-lyxose transport via ABC system","","forward only",""
"DSERt2","D-serine transport via proton symport","","reversible",""
"FRUpts2","fructose transport via PEP:PTS/putative fructose-specific permease","","forward only",""
"SUCFUMt","succinate/fumarate antiporter","","reversible",""
"GALabc","galactose transport via ABC system","","forward only",""
"GALt2","D-galactose transport in via proton symport","","forward only",""
"GAMpts","D-glucosamine transport via PEP:PTS","","forward only",""
"GLCpts","glucose transport via PEP:PTS","","forward only",""
"GLUt4","Glutamate transport via sodium symport","","forward only",""
"GLYCLTt","glycolate transport via diffusion","","reversible",""
"GLYabc","glycine transport via proton symport","","forward only",""
"HISabc","L-histidine transport via ABC system","","forward only",""
"4A5HMPt","2-(Hydroxymethyl)phenol transport via diffusion","","reversible",""
"2HXMPt6","2-(hydroxymethyl)phenol transport in/out via proton symport","","reversible",""
"HYXNt","hypoxanthine transport via facilitated diffusion","","reversible",""
"ILEt2r","L-isoleucine transport via proton symport","","reversible",""
"ARBt2r","L-arabinose transport via proton symport","","reversible",""
"LEUt2r","L-leucine transport via proton symport","","reversible",""
"LYXabc","L-lyxose transport via ABC system","","forward only",""
"MALt2_3","malate transport via proton symport (3 H)","","forward only",""
"MANpts","D-mannose transport via PEP:PTS","","forward only",""
"MNLpts","D-mannitol transport via PEP:PTS","","forward only",""
"MALTpts","Maltose transport via PEP:PTS","","forward only",""
"NAt3_15","sodium proton antiporter (H:NA is 1.5)/putative sodium:solute symporter","","forward only",""
"NO3t","nitrate transport via diffusion","","reversible",""
"PACt","phenylacetic acid transport via facilitated diffusion","","forward only",""
"PPAt6","propanoate transport via proton symport","","reversible",""
"RMNt","L-rhamnose transport via proton symport","","forward only",""
"SERt4","L-serine transport via sodium symport","","reversible",""
"SBTpts","D-sorbitol transport via PEP:PTS","","forward only",""
"SUCCt2_3","succintate transport via proton symport (3 H)","","forward only",""
"SUCCt2b","succinate efflux via proton symport","","forward only",""
"SUCRabc","sucrose transport via ABC system","","closed",""
"TARTRt7","tartrate/succinate antiporter","","reversible",""
"THRt4","L-threonine transport via sodium symport","","forward only",""
"THYMabc","THYMINE transport via ABC system","","forward only",""
"TREpts","trehalose transport via PEP:PTS","","forward only",""
"REDt","undecylprodigiosin transport","","forward only",""
"VALt2r","L-valine transport via proton symport","","reversible",""
"XANt","xanthine transport via facilitated diffusion","","reversible",""
"XYLt2","D-xylose transport via proton symport","","forward only",""
"EX_anth_e","anthranilate transport via facilitated diffusion","","forward only",""
"EX_citr__L_e","citrulline transport via facilitated diffusion","","forward only",""
"EX_26dap_LL_e","2,6-diaminopimelic acid transport via ABC system","","forward only",""
"EX_arab__D_e","D-arabinose transport via ABC system","","forward only",""
"EX_lyx__D_e","D-lyxose transport via ABC system","","forward only",""
"EX_ser__D_e","D-serine transport via proton symport","","forward only",""
"EX_gam_e","D-glucosamine exchange","","forward only",""
"EX_4ahmmp_e","2-(Hydroxymethyl)phenol transport via diffusion","","forward only",""
"EX_hxan_e","hypoxanthine transport via facilitated diffusion","","forward only",""
"EX_pac_e","phenylacetic acid transport via facilitated diffusion","","forward only",""
"EX_sucr_e","sucrose transport via ABC system","","forward only",""
"CHIRAISO","R09307","R09307","reversible"," "
"DHORD4","(S)-dihydroorotate:quinone oxidoreductase","R01868","forward only","irreversible"
"URO","urate:oxygen oxidoreductase","R02106","reversible","irreversible"
"OHCUS","5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate carboxy-lyase [(S)-allantoin-forming]","R06604","reversible","irreversible"
"HURH","5-hydroxyisourate amidohydrolase","R06601","reversible","irreversible"
"DMT","S-adenosyl-L-methionine:DNA (cytosine-5-)-methyltransferase","R04858","reversible"," "
"GMPS","Xanthosine-5-phosphate:ammonia ligase (AMP-forming)","R01230","forward only","irreversible"
"PPNCL3","(R)-4-Phosphopantothenate:L-cysteine ligase","R04230","forward only"," "
"MECDPDH5_2","(E)-4-hydroxy-3-methylbut-2-en-1-yl-diphosphate:oxidized flavodoxin oxidoreductase","R10859","reversible"," "
"IDPS2","isopentenyl-diphosphate:ferredoxin oxidoreductase","R05884","reversible","irreversible"
"SUCD9","succinate:quinone oxidoreductase","R02164","reversible","irreversible"
"CYO1ab","Ubiquinol:ferricytochrome-c oxidoreductase","R02161","reversible"," "
"SULR_syn","Hydrogen-sulfide:ferredoxin oxidoreductase","R00859","reversible","irreversible"
"SADT","ATP:sulfate adenylyltransferase","R00529","reversible","Reversible"
"4HXPUHBT","4-hydroxyphenylpyruvate:5-amino-6-(D-ribitylamino)uracil 4-hydroxybenzyltransferase","R09396","reversible"," "
"LPFPLT","(2S)-lactyl-2-diphospho-5-guanosine:7,8-didemethyl-8-hydroxy-5-deazariboflavin lactylphosphotransferase","R09398","reversible","irreversible"
"LPPGS","GTP:2-phospho-L-lactate guanylyltransferase","R09397","reversible","irreversible"
"GF4GL_1","L-glutamate:coenzyme F420-1 ligase (GDP-forming)","R09400","reversible"," "
"GF4GL_0","L-glutamate:coenzyme F420-0 ligase (GDP-forming)","R09399","reversible"," "
"GALKr","ATP:alpha-D-galactose 1-phosphotransferase","R01092","forward only","Reversible"
"ACTS17","R09312","R09312","forward only"," "
"ACTS18","dihydrokalafungin-dihydroquinone,FMNH2:oxygen oxidoreductase (hydroxylating)","R09313","reversible"," "
"ACTS16b","R09314","R09314","forward only"," "
"NAACPHYD","R09269","R09269","reversible"," "
"MALCOAMT","malonyl-CoA:malonamoyl-[acyl-carrier protein] malonyltransferase","R11516","reversible"," "
"HISTDa","L-histidinal:NAD+ oxidoreductase","R01163","reversible","irreversible"
"HISTDb","L-Histidinol:NAD+ oxidoreductase","R03012","reversible","Reversible"
"ATNS_nh4","chorismate pyruvate-lyase (amino-accepting; anthranilate-forming)","R00985","forward only"," "
"HSDxi","L-Homoserine:NAD+ oxidoreductase","R01773","reversible","irreversible"
"KARI_23dhmb","(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)","R04440","reversible"," "
"KARI_3hmoa","(S)-2-Acetolactate methylmutase","R05071","reversible"," "
"KARI","(S)-2-Aceto-2-hydroxybutanoate:NADP+ oxidoreductase (isomerizing)","R05069","reversible"," "
"KARI_23dhmp","(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase (isomerizing)","R05068","reversible"," "
"THDPLOR","2,3,4,5-tetrahydrodipicolinate:NAD+ 4-oxidoreductase","R04198","reversible","irreversible"
"EN6LNOR","enzyme N6-(dihydrolipoyl)lysine:NAD+ oxidoreductase","R07618","reversible","irreversible"
"r0163","R00621","R00621","reversible"," "
"3CTHPPT","R03316","R03316","reversible"," "
"ITPOCL","ITP:oxaloacetate carboxy-lyase (adding ITP; phosphoenolpyruvate-forming)","R00726","reversible","Reversible"
"FBA_1","beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)","R01070","reversible"," "
"BFBP","beta-D-Fructose 1,6-bisphosphate 1-phosphohydrolase","R04780","forward only"," "
"TALAb","sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase","R01827","reversible","Reversible"
"TKT2h","beta-D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase","R01830","reversible","Reversible"
"G6PBDH","beta-D-glucose-6-phosphate:NADP+ 1-oxoreductase","R02736","reversible","irreversible"
"G6PDH1b","beta-D-glucose-6-phosphate:NAD+ 1-oxidoreductase","R10907","reversible"," "
"G6PI","alpha-D-Glucose 6-phosphate ketol-isomerase","R02739","reversible","Reversible"
"PGIA","alpha-D-Glucose 6-phosphate ketol-isomerase","R02740","reversible"," "
"COBP3DH","cobalt-precorrin 3 dehydrogenase","R08716","reversible"," "
"CODSCL5DA","cobalt-precorrin 5A acylhydrolase","R07772","reversible","Irreversible"
"CODSCL5BMT","S-adenosyl-L-methionine:cobalt-precorrin-5B (C1)-methyltransferase","R07773","reversible","Irreversible"
"UGAH","Ureidoglycine aminohydrolase","R05554","reversible","Irreversible"
"ACON6LAT","acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase","R02569","reversible","Irreversible"
"ACTS19","hydroxylated dihydrokalafungin dimerization","R06697","forward only"," "
"PKBBS","R06643","R06643","reversible"," "
"MACPAL","malonyl-[acyl-carrier protein]:L-glutamine amido-ligase (AMP-forming)","R11515","reversible"," "
"GLUTPAT","[L-glutamate:ammonia ligase (ADP-forming)]-O4-(5-adenylyl)-L-tyrosine:phosphate adenylyltransferase","R03474","forward only"," "
"GLUAAT","ATP:[L-glutamate:ammonia ligase (ADP-forming)] adenylyltransferase","R03473","forward only","Irreversible"
"SEPHCHCS","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase","R08165","reversible","Irreversible"
"SHCHCS3","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","R08166","reversible","Irreversible"
"ACCOAC_1","carboxybiotin-carboxyl-carrier-protein:acetyl-CoA carboxytransferase","R04386","reversible"," "
"DIOP5OR","2,5-dioxopentanoate:NADP+ 5-oxidoreductase","R00264","reversible","Irreversible"
"MALEI","Maleate cis-trans-isomerase","R01087","reversible","Reversible"
"MCPST","3-mercaptopyruvate:cyanide sulfurtransferase","R03106","reversible","Irreversible"
"MCPST2","3-Mercaptopyruvate:cyanide sulfurtransferase","R03105","reversible"," "
"PENAM","Penicillin amidohydrolase","R04103","reversible"," "
"GLCRD2","D-glucarate hydro-lyase","R08056","reversible"," "
"GALM2","D-galactose 1-epimerase","R10619","reversible"," "
"LLEUDr","L-leucine:NAD+ oxidoreductase (deaminating)","R01088","forward only","Irreversible"
"DM_mmyA_c","methylenomycin A demand","","forward only",""
"DM_mmyB_c","methylenomycin B demand","","forward only",""
"MMSYNA","MMSYNA","","forward only",""
"MMYSYN1","MMYSYN1","","forward only",""
"MMYSYN3","MMYSYN3","","forward only",""
"MMYSYN2","MMYSYN2","","forward only",""
"MMSYNB","MMSYNB","","forward only",""
"DM_geosmin_c","Geosmin demand","","forward only",""
"DM_grmcrnd_c","(-)-Germacrene D demand","","forward only",""
"DM_albflon_c","Albaflavenone demand","","forward only",""
"DM_strprub_c","Streptorubin B demand","","forward only",""
"GRMCROS","2-trans,6-trans-farnesyl-diphosphate diphosphate-lyase [(1E,4S,5E,7R)-germacra-1(10),5-dien-11-ol-forming]","R07647","reversible","Irreversible"
"ALBFLONR","(5R)-albaflavenol,NADPH:oxygen 5-oxidoreductase","R08854","reversible","Irreversible"
"DIFRNLY","(2E,6E)-farnesyl-diphosphate diphosphate-lyase [(E)-beta-farnesene-forming]","R08695","reversible","Irreversible"
"ALBFLOLR","(+)-epi-isozizaene,NADPH:oxygen oxidoreductase (5R-hydroxylating)","R08853","reversible","Irreversible"
"ALBFLOLS","(+)-epi-isozizaene,NADPH:oxygen oxidoreductase (5S-hydroxylating)","R08851","reversible","Irreversible"
"EPIZSYN","(2E,6E)-farnesyl-diphosphate diphosphate-lyase [(+)-epi-isozizaene-forming]","R07830","reversible","Irreversible"
"REDS35b","4-hydroxy-2,2-bipyrrole-5-methanal:NAD+ oxidoreductase","R11669","forward only"," "
"SQLCYC2","squalene mutase (cyclizing)","R07323","reversible","Irreversible"
"SQLCYC1","squalene mutase (cyclizing)","R07322","reversible","Irreversible"
"PRODSYN","R11662","R11662","forward only"," "
"PSQLDL","presqualene-diphosphate diphosphate-lyase (reducing, squalene-forming)","R02872","reversible","Irreversible"
"FRNDIT","farnesyl-diphosphate:farnesyl-diphosphate farnesyltransferase","R00702","reversible","Irreversible"
"ALBFLONS","(5S)-albaflavenol,NADPH:oxygen 5-oxidoreductase","R08852","reversible","Irreversible"
"REDS27b","4-keto-2-undecylpyrroline, NADPH: oxidoreductase","R11663","forward only"," "
"GRMCRDS","2-trans,6-trans-farnesyl-diphosphate diphosphate-lyase [(-)-Germacrene D-forming]","R07648","reversible","Irreversible"
"GSMNSYN","germacradienol geosmin-lyase (acetone forming)","R09487","reversible"," "
"SRUBSYN","SRUBSYN","","forward only",""
"CITCIa2","(R)-2-Methylmalate hydro-lyase (2-methylmaleate-forming)","R03896","reversible","Reversible"
"ERTHMMOR","(2R,3S)-3-methylmalate:NAD+ oxidoreductase","R00994","reversible","Irreversible"
"CITCIb","2-methylmaleate hydratase","R03898","reversible","Irreversible"
"CITMS","(R)-citramalate synthase","R07399","reversible","Irreversible"
"OAADC","oxaloacetate carboxy-lyase (pyruvate-forming)","R00217","forward only","Irreversible"
"BIOMASS_SCO_tRNA","S. coelicolor biomass function with AA replaced by tRNA-AA","","forward only",""
"CARNOX","Carnitine:NAD+ 3-oxidoreductase","R02395","reversible",""
"FTHFCL_1","5-Formyltetrahydrofolate cyclo-ligase","R02301","forward only",""
"AC1MO","acetone 1-monooxygenase","","forward only",""
"GLNLASE","gluconolactonase","R02933","forward only",""
"FCLPA","L-fuculose-phosphate aldolase;fuculose-1-phosphate aldolase","R02262","reversible",""
"TRE6PH","trehalose-6-phosphate hydrolase","R00837","forward only",""
"PROP2MO","propane 2-monooxygenase","","forward only",""
"DHAPT","dihydroxyacetone kinase","R01012","forward only",""
"BFORCL","benzoylformate carboxy-lyase","R01764","forward only",""
"4HYBUT","4-hydroxybutyrate:CoA ligase (ADP-forming)","","forward only",""
"BUPN","beta-ureidopropionase;beta-alanine synthase","R00905","forward only",""
"COSPERDH","carboxynorspermidine dehydrogenase","R09080","forward only",""
"STRP6K","streptomycin 6-kinase","R02225","forward only",""
"SSBUTDH","(S,S)-butanediol dehydrogenase;[(S,S)-2,3-butanediol-forming]-(S)-acetoin reductase;(S)-acetoin reductase [(S,S)-2,3-butanediol forming];[(S)-acetoin forming]-(S,S)-2,3-butanediol dehydrogenase","R02344","reversible",""
"DCPEPFU","decaprenyl-phosphoryl-2-keto-beta-D-erythro-pentofuranose reductase;decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase","","forward only",""
"4SULFADH","4-sulfobenzyl alcohol dehydrogenase","R05271","reversible",""
"DGALACYC","D-galactarolactone cycloisomerase","","forward only",""
"GUDBUTNAH","guanidinobutyrase;guanidinobutyrate amidinohydrolase","R01990","forward only",""
"DRIB2FUR","decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase","","forward only",""
"DGLUCMT","dTDP-4-oxo-2,6-dideoxy-D-glucose 3-C-methyltransferase","","forward only",""
"XGLCOLIG","XXLG xyloglucan oligosaccharide beta-galactosidase","","forward only",""
"3HPPPNH","3-(3-hydroxyphenyl)propanoate hydroxylase","R06786","forward only",""
"DHICONF","(-)-dehydrodiconiferyl aldehyde dehydrogenase","","forward only",""
"AMBCOAL","2-aminobenzoate-CoA ligase;anthranilate-CoA ligase;anthranilate-coenzyme A ligase","R00982","forward only",""
"CYT5MONP","cytidine 5-monophosphate N-acetylneuraminate synthetase","R01117","forward only",""
"URO3MET","uroporphyrin-III (C2)-methyltransferase;uroporphyrinogen-III (C2)-methyltransferase;uroporphyrinogen-III C-methyltransferase;S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase","R07237","forward only",""
"45DOPA","4,5-DOPA dioxygenase extradiol;4,5-DOPA-dioxygenase","[R02075, R08836]","forward only",""
"33BIFLAV","3,3-biflaviolin synthase","R08912","forward only",""
"ORNHYDXy","ornithine N-hydroxylase (NADPH)","R10789","forward only",""
"THYDNAPS","1,3,6,8-tetrahydroxynaphthalene synthase","","forward only",""
"NADHXE","NADHX epimerase","","forward only",""
"HDXSQLS","hydroxysqualene synthase","","forward only",""
"GCGBGE","(+)-(alphaS,betaS)-guaiacylglycerol-beta-guaiacyl ether dehydrogenase","","forward only",""
"THYDNAPO","1,3,6,8-tetrahydroxynaphthalene monooxygenase (quinone-forming)","","forward only",""
"TBFORMD","tert-butyl formate deformylase","","forward only",""
"CAFFCOA","trans-caffeate:CoA ligase;caffeate coenzyme A ligase;caffeate-CoA ligase;trans-caffeate coenzyme A ligase;caffeoyl-CoA synthetase;trans-caffeate--CoA ligase","R01943","forward only",""
"FORGLUIH","formiminoglutamate deiminase","R02286","forward only",""
"5METDA","5-methylthioadenosine deaminase;S-methyl-5-thioadenosine deaminase","","forward only",""
"FHL","formate hydrogenlyase complex","","forward only",""
"FLAVMO","flaviolin monooxygenase","","forward only",""
"2OGLUAH","2-oxoglutaramate amidase;2-ketoglutaramate amidase;2-oxoglutaramate omega-amidase","R00269","forward only",""
"2METBOD","2-methylisoborneol synthase","","forward only",""
"4MBZDH","4-tolualdehyde dehydrogenase","","forward only",""
"2A3MUCSD","2-amino-3-carboxymuconate 6-semialdehyde decarboxylase;2-amino-3-carboxymuconate-6-semialdehyde decarboxylase;2-amino 3-carboxymuconate 6-semialdehyde decarboxylase;aminocarboxymuconate-semialdehyde decarboxylase","R04323","forward only",""
"PYDXOR","pyridoxal reductase;pyridoxine 4-dehydrogenase/pyridoxal reductase","R01708","reversible",""
"CUMALDH","cumic aldehyde dehydrogenase","R05235","forward only",""
"DCYCHEX","2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase","R05243","reversible",""
"NADHXDH","(S)-NADHX dehydratase","","forward only",""
"DHYDTHYM","dihydrothymine hydrolase;dihydrothymine amidohydrolase;dihydrothyminidase","R03055","reversible",""
"MYCFORM","mycothiol-dependent formaldehyde dehydrogenase","R09129","forward only",""
"O4OXOCYR","O-[5-(oxidonitroso)-4-oxocyclohex-2-en-1-ylidenenitroso]oxidanidolate reductase","","forward only",""
"DRIBPA","D-ribulose-phosphate aldolase","","reversible",""
"DXYLDH","D-xylonate dehydratase","R02429","forward only",""
"ADOXFUTS","aminodeoxyfutalosine synthase","","forward only",""
"PHYSYN","phytoene synthase","R07270","forward only",""
"O426ISO","(25S)-3-oxocholest-4-en-26-oyl-CoA racemase","","reversible",""
"CYCHEXDH","S-1-(4-hydroxyphenyl)-ethanol dehydrogenase;cyclohexanol dehydrogenase","R06891","forward only",""
"2CLRED","2-chloroacrylate reductase","","forward only",""
"HPYRRy","hydroxypyruvate reductase;hydroxypyruvate reductase Me (NADPH)","R01392","reversible",""
"AMBACS","aminobacteriohopanetriol synthase","","forward only",""
"DPMSYN","dolichyl-phosphate mannose synthase;dolichol phosphate mannose synthase","R01009","forward only",""
"GDCARBM","guadinomine carbamoyltransferase","","forward only",""
"GGLUPUT","gamma-glutamylputrescine oxidase","R07415","forward only",""
"DGLUC4KR","dTDP-4-oxo-2,6-dideoxy-D-glucose 4-ketoreductase (dTDP-D-olivose producing)","","forward only",""
"2ABZMOy","2-amninobenzoyl-CoA monooxygenase/reductase (NADPH)","R03999","forward only",""
"TMETMO","trimethylamine monooxygenase","","forward only",""
"DGLYHRED","dTDP-3,4-diketo-2,6-dideoxy-D-glucose 3-ketoreductase;dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose 3-ketoreductase;dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose reductase","","forward only",""
"MSUCOADH","(2S)-methylsuccinyl-CoA dehydrogenase","","forward only",""
"CYSBLY","cystathionine beta-lyase;L-cystathione beta-lyase;cystathionine-beta-lyase","","forward only",""
"CHOLOX","cholesterol oxidase","R01459","forward only",""
"UNDEGLCT","undecaprenyl phosphate-N-acetyl-alpha-D-glucosamine transferase","","forward only",""
"SAMAT","S-adenosyl-L-methionine:arsenite As-methyltransferase","R05755","forward only",""
"CYANST","thiosulfate sulfurtransferase;thiosulfate-sulfurtransferase;thiosulfite-cleaving enzyme","R01931","forward only",""
"BFORMDC","p-hydroxybenzoylformate carboxy-lyase;benzoylformate decarboxylase","R02672","forward only",""
"BSUZCOAD","benzylsuccinyl-CoA dehydrogenase","","forward only",""
"HEP7PHOK","heptose 7-phosphate kinase","R05646","forward only",""
"DGLUCYC","D-glucarolactone cycloisomerase","","forward only",""
"IPAXYL","isoprimeverose alpha-xylosidase","","forward only",""
"HCSUCT","hydroxycadaverine acyl transferase;hydroxycadaverine succinyl-transferase","","forward only",""
"3CLBZDH","3-chlorobenzaldehyde dehydrogenase","","forward only",""
"CARBPHOL","carbamate phosphorylase","R01395","forward only",""
"HEXHYD","4-hydroxy-2-keto-5-methyl-6-oxo-3-hexenoate hydrolase","","forward only",""
"LLYXDH","L-lyxonate dehydratase","","forward only",""
"3T3LPROD","trans-3-hydroxy-L-proline dehydratase","R04374","forward only",""
"PTC6MT","pretetramide C-6-methyltransferase","","forward only",""
"BZALDH","benzyl alcohol dehydrogenase","R01763","reversible",""
"11OXPENT","1-deoxy-11-oxopentalenate oxygenase","","forward only",""
"CSPMDDH","carboxyspermidine dehydrogenase","R09079","forward only",""
"MYCARSL","mycothiol-arsenate ligase","","forward only",""
"LGALACD","L-galactose dehydrogenase","","forward only",""
"25DBUT","L-2,4-diaminobutyrate decarboxylase","R07650","forward only",""
"23LGALAC","2-dehydro-3-deoxy-L-galactonate 5-dehydrogenase","","forward only",""
"4HBHYOX","p-hydroxybenzoate hydroxylase;4-hydroxybenzoate hydroxylase","R01298","forward only",""
"XLXG","XLXG xyloglucan oligosaccharide beta-galactosidase","","forward only",""
"GERDPM","geranyl diphosphate 2-C-methyltransferase","","forward only",""
"LHISTMT","L-histidine Nalpha-methyltransferase","","forward only",""
"4MBZALDH","4-methylbenzyl alcohol dehydrogenase","R05282","forward only",""
"GALOO","gallate:oxygen 3,4-oxidoreductase","R03549","forward only",""
"4NIPHOM","4-nitrophenol 2-monooxygenase","R03023","forward only",""
"ONTROOXR","O-[3-nitro-5-(oxidonitroso)-4-oxocyclohex-2-en-1-ylidenenitroso]oxidanidolate reductase","","forward only",""
"38BIFLAVS","3,8-biflaviolin synthase","R08913","forward only",""
"ULA4NFT","UDP-4-amino-4-deoxy-L-arabinose formyltransferase","R07660","forward only",""
"MCOALY","malyl-CoA lyase;malyl coenzyme A lyase;(S)-malyl-CoA lyase;L-malyl CoA lyase","R00473","reversible",""
"SUCOMALT","succinyl CoA:L-malate CoA transferase","R00406","reversible",""
"GHBDHy","succinate semialdehyde reductase;succinate semialdehyde reductase (NADPH)","R09281","forward only",""
"ACRCOAR","acryloyl-CoA reductase","","forward only",""
"UDPGDC","UDP-glucuronate dehydrogenase","R07658","forward only",""
"GCGUAIDH","(-)-(alphaS,betaR)-guaiacylglycerol-beta-guaiacyl ether dehydrogenase","","forward only",""
"GDPMANDH","GDP-mannose 6-dehydrogenase;GDP-mannose dehydrogenase","R00880","forward only",""
"I3PYRMO","indole-3-pyruvate monooxygenase","","forward only",""
"GALACDH","L-galactose dehydrogenase","R07675","forward only",""
"TRYP2MO","tryptophan 2-monooxygenase;tryptophan 2-monooxygenase","R00679","forward only",""
"MTBUTEMO","methyl tert-butyl ether monooxygenase","","forward only",""
"UDPAGACA","UDP-N-acetylglucosaminemdashundecaprenyl-phosphate N-acetylglucosaminephosphotransferase;undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase","R08856","forward only",""
"UNDCAPPT","undecaprenyl-phosphate glucose phosphotransferase","","forward only",""
"SUCOAGCT","succinyl-CoA-glutarate CoA-transferase","","forward only",""
"MPAHYD","methyl parathion hydrolase","","forward only",""
"TCLBZRED","tetrachlorobenzoquinone reductase","","forward only",""
"FRU6PE4P","D-fructose-6-phosphate D-erythrose-4-phosphate-lyase (adding phosphate acetyl-phosphate-forming);fructose-6-phosphate phosphoketolase;D-fructose 6-phosphate phosphoketolase","R00761","forward only",""
"UAAGLS2","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--lysine ligase;UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase","[R02786, R02785]","forward only",""
"KARA1","2,3-dihydroxy-isovalerate:NADP+ oxidoreductase (isomerizing);(R)-2,3-dihydroxy-3-methylbutanoate isomeroreductase","R04439","reversible",""
"3AIBUTS","3-amino-isobutyrate synthase;beta-ureidopropionase;3-ureido-isobutyrate amidohydrolase","","forward only",""
"AATA","alpha-aminoadipate aminotransferase;L-2-aminoadipate aminotransferase;2-aminoadipate-2-oxoglutarate aminotransferase","R01939","reversible",""
"GUL5DH","L-gulonate 5-dehydrogenase","","forward only",""
"ACETDH","acetoin dehydrogenase","","forward only",""
"36AHDGALC","3,6-anhydro-L-galactonate cycloisomerase","","forward only",""
"BZDH","benzaldehyde dehydrogenase;4-hydroxybenzaldehyde dehydrogenase","R01419","reversible",""
"3MBZDH","3-tolualdehyde dehydrogenase","","forward only",""
"GERDH","geraniol dehydrogenase;geraniol dehydrogenase (NAD+)","","reversible",""
"4CMCOAS","4-coumarate coenzyme A ligase;4-coumarate:CoA ligase;4-coumaroyl-CoA synthetase;4-coumarate-CoA ligase;4-coumarate--CoA ligase","R01616","forward only",""
"DHPD","dihydropyrimidase;5,6-dihydrouracil dihydropyrimidinase;dihydrouracil hydrolase;dihydrouracil amidohydrolase","R02269","reversible",""
"BCOADH","butyryl-CoA dehydrogenase;butanoyl-CoA dehydrogenase","R01178","forward only",""
"24DCOAR","2,4-dienoyl-CoA reductase","","forward only",""
"GLUSAD","glutarate semialdehyde dehydrogenase","","forward only",""
"GGHCSH","gamma-glutamyl-hercynylcysteine sulfoxide hydrolase","","forward only",""
"DDGALK","2-dehydro-3-deoxygalactonokinase","R03387","forward only",""
"GALURDH","D-galacturonate dehydrogenase","R01981","forward only",""
"3K5AHC","3-ketoNADHX-5-aminohexanoate cleavage enzyme;3-keto,5-aminohexanoate cleavage enzyme","","reversible",""
"MPML","magnesium chelatase","R03877","forward only",""
"DMETMO","dimethylaniline monooxygenase","R03344","forward only",""
"NSHDDS","Ni-sirohydrochlorin a,c-diamide synthase","","forward only",""
"GUL14LACDH","L-gulono-1,4-lactone dehydrogenase","","forward only",""
"GLYCTD","glycolate dehydrogenase;glyoxylate reductase","R00717","reversible",""
"TRYPYRAT","L-tryptophan:pyruvate aminotransferase;tryptophanmdashpyruvate aminotransferase","","reversible",""
"GLUCORDH","D-glucuronate dehydrogenase","R09447","forward only",""
"GADECARB","gallate decarboxylase","R03247","reversible",""
